No,class,HV,Al,Co,Cr,Cu,Fe,Ni,Mn,Mo,Ti,V
311,1,507,0.182,0.182,0.182,0,0.182,0.182,0,0,0.091,0
312,1,520,0.1,0.2,0.2,0,0.2,0.2,0,0,0.1,0
313,2,493,0.238,0.19,0.19,0,0.19,0.19,0,0,0,0
314,2,447,0.25,0.25,0,0,0.25,0.25,0,0,0,0
315,1,570,0.265,0,0.147,0.147,0.147,0.294,0,0,0,0
316,1,510,0.273,0.182,0.182,0,0.182,0.182,0,0,0,0
317,1,729,0.286,0.143,0.143,0,0.143,0.143,0,0,0.143,0
318,2,407,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0
319,1,536,0.2,0.2,0,0.2,0.2,0.2,0,0,0,0
320,1,596.3,0,0.25,0.167,0,0.167,0.25,0,0,0.167,0
321,2,156,0,0.25,0.25,0,0.25,0.25,0,0,0,0
322,2,447.5,0,0.273,0.182,0,0.182,0.273,0,0,0.091,0
323,2,118,0,0.2,0.2,0,0.2,0.2,0.2,0,0,0
324,1,857,0,0,0.2,0,0.2,0,0,0.2,0.2,0.2
325,1,504,0,0.2,0.2,0,0.2,0.2,0,0,0,0.2
326,1,895,0,0.182,0.182,0,0.182,0.182,0,0,0,0.273
327,1,699,0.34,0.17,0.34,0,0.05,0.1,0,0,0,0
328,1,728,0.47,0.14,0.15,0.05,0.13,0.06,0,0,0,0
329,1,604,0.38,0.11,0.06,0.09,0.31,0.05,0,0,0,0
330,1,790,0.36,0.1,0.31,0.06,0.09,0.08,0,0,0,0
331,1,806,0.43,0.17,0.15,0,0.14,0.11,0,0,0,0
332,1,811,0.47,0.12,0.12,0.05,0.13,0.11,0,0,0,0
333,1,855,0.43,0.19,0.19,0,0.11,0.08,0,0,0,0
334,1,802,0.39,0.1,0.31,0.05,0.08,0.07,0,0,0,0
335,1,799,0.47,0.13,0.13,0.05,0.12,0.1,0,0,0,0
336,1,857,0.43,0.2,0.22,0,0.08,0.07,0,0,0,0
337,1,855,0.47,0.14,0.19,0.05,0.1,0.05,0,0,0,0
338,1,816,0.43,0.2,0.19,0,0.09,0.09,0,0,0,0
339,1,811,0.46,0.14,0.23,0.05,0.07,0.05,0,0,0,0
340,1,790,0.44,0.14,0.22,0.05,0.09,0.06,0,0,0,0
341,1,855,0.43,0.19,0.24,0,0.08,0.06,0,0,0,0
342,1,856,0.43,0.18,0.24,0,0.1,0.05,0,0,0,0
343,1,859,0.47,0.14,0.2,0.05,0.09,0.05,0,0,0,0
344,1,875,0.43,0.24,0.22,0,0.05,0.06,0,0,0,0
345,1,863,0.43,0.23,0.21,0,0.08,0.05,0,0,0,0
346,1,843,0.47,0.12,0.2,0.05,0.11,0.05,0,0,0,0
347,1,794,0.43,0.15,0.17,0.05,0.14,0.06,0,0,0,0
348,1,783,0.42,0.1,0.3,0.05,0.07,0.06,0,0,0,0
349,1,797,0.47,0.11,0.22,0.05,0.1,0.05,0,0,0,0
350,1,805,0.47,0.13,0.2,0.05,0.1,0.05,0,0,0,0
351,1,699,0.29,0.22,0.34,0,0.05,0.1,0,0,0,0
352,1,749,0.47,0.07,0.16,0.09,0.16,0.05,0,0,0,0
353,1,828,0.43,0.14,0.21,0.05,0.12,0.05,0,0,0,0
354,1,849,0.47,0.18,0.15,0.05,0.1,0.05,0,0,0,0
355,1,883,0.47,0.2,0.18,0.05,0.05,0.05,0,0,0,0
