formula,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,YS
Hf1 Mo0.5 Nb Si0.3 Ti V0.5,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,6,0.4406347749185213,0.3454275918182818,0.2909481877670021,0.27228174178522296,0.2595804736235227,14.0,72.0,58.0,39.93023255813954,15.895078420767986,22.0,43.0,78.0,35.0,48.0,4.651162790697675,43.0,28.0855,178.49,150.4045,93.28832093023257,40.250008653326134,47.867,1687.0,2896.0,1209.0,2382.0,348.37209302325584,1941.0,4.0,14.0,10.0,5.279069767441861,1.3845321795565175,4.0,3.0,6.0,3.0,4.7441860465116275,0.7625743645213631,4.0,111.0,175.0,64.0,159.48837209302326,9.55110870740941,160.0,1.3,2.16,0.8600000000000001,1.605813953488372,0.17555435370470515,1.3,1.0,2.0,1.0,1.6511627906976745,0.45429962141698216,1.0,0.0,2.0,2.0,0.13953488372093023,0.2595997836668469,0.0,0.0,5.0,5.0,2.7906976744186047,1.1249323958896702,2.0,0.0,14.0,14.0,3.255813953488372,4.997295835586803,0.0,4.0,18.0,14.0,7.837209302325582,4.726879394267172,4.0,0.0,1.0,1.0,0.3488372093023256,0.4542996214169822,0.0,0.0,4.0,4.0,0.27906976744186046,0.5191995673336938,0.0,0.0,8.0,8.0,6.511627906976744,1.4981070849107627,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,7.1395348837209305,0.8004326663061114,7.0,13.01,22.2,9.19,18.035348837209302,2.3398593834505137,16.69,0.0,0.773,0.773,0.053930232558139536,0.10033531638723635,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.240310077511629e-06,8.043266630599243e-06,0.0,194.0,229.0,35.0,212.58139534883722,17.285018929150894,194.0,1.6511627906976745,0.13953488372093023,2.7906976744186047,3.255813953488372,False,0.16881260156382927,0.015368125163239581,Hf0.44496820954056315 Mo0.11958723184302096 Nb0.23161177412457382 Si0.021004797998293714 Ti0.1193304570904708 V0.06349752940307747 ,Hf0.23255813953488372Mo0.11627906976744186Nb0.23255813953488372Si0.06976744186046512Ti0.23255813953488372V0.11627906976744186,0.08291884703533511,2.0617735524791234,0.003063378428472441,5.873445105462412,1.2367956035207863,-0.014165477537729627,93.28832093023254,401.12978000000004,-2.060272711682516,0.09195246720888953,0.20389399675500272,5.279069767441861,16.365603028664143,6.11953488372093,20.0,2.0,2.0,16.0,0.0,51.8253488372093,0.46224393764595967,10.040995132504055,-0.07454110987931598,1617.0
Hf1 Mo0.5 Nb Si0.5 Ti V0.5,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,6,0.4303314829119352,0.3333333333333333,0.2785380491260111,0.2602738196193172,0.2480515827929805,14.0,72.0,58.0,38.77777777777778,16.469135802469136,22.0,43.0,78.0,35.0,49.333333333333336,6.51851851851852,43.0,28.0855,178.49,150.4045,90.39041777777778,41.51126024691358,47.867,1687.0,2896.0,1209.0,2351.1111111111113,367.2098765432099,1941.0,4.0,14.0,10.0,5.666666666666667,1.9259259259259258,4.0,3.0,6.0,3.0,4.666666666666667,0.8148148148148148,4.0,111.0,175.0,64.0,157.33333333333334,11.999999999999996,160.0,1.3,2.16,0.8600000000000001,1.6188888888888888,0.18518518518518512,1.3,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,2.0,2.0,0.2222222222222222,0.3950617283950617,0.0,0.0,5.0,5.0,2.6666666666666665,1.1851851851851851,2.0,0.0,14.0,14.0,3.111111111111111,4.839506172839506,0.0,4.0,18.0,14.0,7.666666666666667,4.592592592592592,4.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,4.0,4.0,0.4444444444444444,0.7901234567901234,0.0,0.0,8.0,8.0,6.222222222222222,1.7530864197530864,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,7.0,0.8888888888888888,7.0,13.01,22.2,9.19,18.14222222222222,2.330864197530864,16.69,0.0,0.773,0.773,0.08588888888888889,0.15269135802469136,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.0074074074e-06,7.789300411511112e-06,0.0,194.0,229.0,35.0,213.22222222222223,17.086419753086417,194.0,1.6666666666666667,0.2222222222222222,2.6666666666666665,3.111111111111111,False,0.16881260156382927,0.015589041526006823,Hf0.43882327997205534 Mo0.11793575404929964 Nb0.22841325789640965 Si0.03452454263447577 Ti0.11768252530910622 V0.0626206401386533 ,Hf0.2222222222222222Mo0.1111111111111111Nb0.2222222222222222Si0.1111111111111111Ti0.2222222222222222V0.1111111111111111,0.09462173095125061,1.3875036511140677,-0.004126987901131628,6.740740740740741,1.2377722369310313,-0.014425841363189739,90.39041777777778,406.74688000000003,-1.6112368097841299,0.0955767865343146,0.21481481481481488,5.666666666666666,24.444444444444446,6.053333333333333,20.0,2.0,2.0,16.0,0.0,51.28777777777778,0.4591704992058567,9.734320987654321,-0.0730338765252844,1787.0
Hf1 Mo0.5 Nb Si0.7 Ti V0.5,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,6,0.42499966713698256,0.3258776289711857,0.26900352637505537,0.250066902774271,0.23771100094917555,14.0,72.0,58.0,37.72340425531915,16.889995473064733,22.0,43.0,78.0,35.0,50.5531914893617,8.175645088275235,43.0,28.0855,178.49,150.4045,87.73914468085107,42.56532693526483,47.867,1687.0,2896.0,1209.0,2322.851063829787,381.64780443639654,1941.0,4.0,14.0,10.0,6.02127659574468,2.3766410140334986,4.0,3.0,6.0,3.0,4.595744680851064,0.8555907650520597,4.0,111.0,175.0,64.0,155.36170212765958,14.006337709370753,160.0,1.3,2.16,0.8600000000000001,1.630851063829787,0.19275690357627873,1.3,1.0,2.0,1.0,1.6808510638297873,0.4345857854232684,1.0,0.0,2.0,2.0,0.2978723404255319,0.5070167496604799,0.0,0.0,5.0,5.0,2.553191489361702,1.2313263920325939,2.0,0.0,14.0,14.0,2.978723404255319,4.689904934359438,0.0,4.0,18.0,14.0,7.510638297872339,4.463558171118153,4.0,0.0,1.0,1.0,0.3191489361702127,0.4345857854232684,0.0,0.0,4.0,4.0,0.5957446808510638,1.0140334993209599,0.0,0.0,8.0,8.0,5.957446808510638,1.9782707107288364,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.872340425531914,1.0411951109099142,7.0,13.01,22.2,9.19,18.24,2.3404255319148928,16.69,0.0,0.773,0.773,0.11512765957446809,0.19596197374377547,0.0,0.0,2.25333333333e-05,2.25333333333e-05,4.7943262411276595e-06,7.5485136562435484e-06,0.0,194.0,229.0,35.0,213.80851063829786,16.858306926210957,194.0,1.6808510638297873,0.2978723404255319,2.553191489361702,2.978723404255319,False,0.16881260156382927,0.01571749875667617,Hf0.4328457592246539 Mo0.11632926813830828 Nb0.22530188014966776 Si0.04767596335645028 Ti0.11607948880501152 V0.06176764032590819 ,Hf0.2127659574468085Mo0.10638297872340426Nb0.2127659574468085Si0.14893617021276595Ti0.2127659574468085V0.10638297872340426,0.10364229095385719,1.0849240987654498,-0.010500190713879474,7.442281575373471,1.238674569926153,-0.014534222462977702,87.73914468085107,412.36398,-1.353062303723712,0.0982043973304551,0.22317790855590772,6.0212765957446805,31.118153010411948,5.992765957446808,20.0,2.0,2.0,16.0,0.0,50.79595744680851,0.455963807386559,9.442372114078765,-0.07143002472841076,2134.0
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,6,0.4165977904505309,0.3134742945802482,0.25117273236020954,0.2288690323009513,0.21357125142693337,22.0,73.0,51.0,48.90909090909091,17.15702479338843,22.0,43.0,50.0,7.0,45.81818181818182,1.9834710743801656,43.0,47.867,180.94788,133.08088,116.25731999999999,46.15390545454545,47.867,1941.0,3290.0,1349.0,2556.909090909091,398.44628099173553,1941.0,4.0,6.0,2.0,4.545454545454546,0.5950413223140496,4.0,4.0,6.0,2.0,5.181818181818182,0.5950413223140495,4.0,154.0,175.0,21.0,167.45454545454547,6.413223140495867,160.0,1.3,2.16,0.8600000000000001,1.5181818181818185,0.15438016528925624,1.3,1.0,2.0,1.0,1.7272727272727273,0.396694214876033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.8181818181818183,0.8925619834710744,2.0,0.0,14.0,14.0,5.090909090909091,6.479338842975207,0.0,4.0,19.0,15.0,9.636363636363637,6.446280991735537,4.0,0.0,1.0,1.0,0.2727272727272727,0.396694214876033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.181818181818182,0.8925619834710744,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,7.454545454545454,0.5950413223140496,7.0,15.69,23.195,7.505000000000001,19.314545454545453,2.460330578512396,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,4.0969696969636364e-06,6.704132231395042e-06,0.0,194.0,229.0,35.0,209.9090909090909,17.355371900826444,194.0,1.7272727272727273,0.0,2.8181818181818183,5.090909090909091,False,0.16881260156382927,0.01273910695641113,Hf0.2791500338924331 Mo0.07502284232069033 Nb0.14530124447208959 Ta0.28299404355854063 Ti0.0748617551253801 Zr0.14267008063086625 ,Hf0.18181818181818182Mo0.09090909090909091Nb0.18181818181818182Ta0.18181818181818182Ti0.18181818181818182Zr0.18181818181818182,0.05064095609295966,63.15414293468728,0.004364086410248738,3.9504132231404956,1.0803788935714127,-0.014697168880613485,116.25731999999999,639.40526,-5.730993178924313,0.08702001683465858,0.18016528925619832,4.545454545454546,0.5950413223140496,6.658181818181819,20.0,2.0,0.0,18.0,0.0,52.81636363636364,0.44224794151415014,11.316528925619837,-0.07435445767994651,1317.0
Hf1 Mo0.5 Nb1 Ti1 V0.5,Hf1 Mo0.5 Nb1 Ti1 V0.5,5,0.46770717334674267,0.37031200855092133,0.31271969089260543,0.29269984004769173,0.2790489542558652,22.0,72.0,50.0,41.875,15.09375,22.0,43.0,50.0,7.0,45.75,1.75,43.0,47.867,178.49,130.62300000000002,98.1785325,40.15573375,47.867,1941.0,2896.0,955.0,2434.125,309.34375,1941.0,4.0,6.0,2.0,4.625,0.625,4.0,4.0,6.0,2.0,4.875,0.65625,4.0,153.0,175.0,22.0,163.125,6.375,160.0,1.3,2.16,0.8600000000000001,1.5837499999999998,0.16375,1.3,1.0,2.0,1.0,1.625,0.46875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.0,2.0,0.0,14.0,14.0,3.5,5.25,0.0,4.0,18.0,14.0,8.125,4.9375,4.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,7.375,0.625,7.0,13.01,22.2,9.19,17.854999999999997,2.3349999999999995,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.633333333325e-06,8.4499999999875e-06,0.0,194.0,229.0,35.0,211.5,17.5,194.0,1.625,0.0,3.0,3.5,False,0.16881260156382927,0.014804653082393274,Hf0.4545152097076239 Mo0.12215303159658646 Nb0.23658111260505457 Ti0.12189074762213475 V0.06485989846860025 ,Hf0.25Mo0.125Nb0.25Ti0.25V0.125,0.05569655252290773,36.0705548767893,-0.0011123695961914454,4.171875,1.1047147442689123,-0.012966357733144616,98.1785325,392.70413,-4.179856487193718,0.08367380311729605,0.18125000000000002,4.625,0.875,6.231250000000001,18.0,2.0,0.0,16.0,0.0,52.7325,0.4664954710716529,10.529062499999998,-0.07642732845799036,1260.0
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,6,0.4101730926981132,0.3055263386234081,0.24218861486474644,0.2196947166670567,0.20451047374121772,22.0,73.0,51.0,48.608695652173914,16.620037807183365,22.0,43.0,50.0,7.0,46.0,2.0869565217391304,43.0,47.867,180.94788,133.08088,115.37482782608696,44.761121512287325,47.867,1941.0,3290.0,1349.0,2571.6521739130435,396.50661625708887,1941.0,4.0,6.0,2.0,4.608695652173913,0.6351606805293006,4.0,4.0,6.0,2.0,5.173913043478261,0.5746691871455576,4.0,154.0,175.0,21.0,166.8695652173913,6.744801512287334,160.0,1.3,2.16,0.8600000000000001,1.5460869565217392,0.1789035916824197,1.3,1.0,2.0,1.0,1.6956521739130435,0.4234404536862004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.9130434782608696,0.9527410207939507,2.0,0.0,14.0,14.0,4.869565217391305,6.351606805293005,0.0,4.0,19.0,15.0,9.478260869565217,6.2759924385633274,4.0,0.0,1.0,1.0,0.30434782608695654,0.4234404536862004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.086956521739131,0.9527410207939507,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,7.391304347826087,0.6351606805293006,7.0,15.69,23.195,7.505000000000001,19.15695652173913,2.462986767485822,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,3.918840579704348e-06,6.474606175163705e-06,0.0,194.0,229.0,35.0,210.7391304347826,17.466918714555767,194.0,1.6956521739130435,0.0,2.9130434782608696,4.869565217391305,False,0.16881260156382927,0.01617139516166937,Hf0.26905731175492387 Mo0.10846556595509858 Nb0.14004785056687447 Ta0.2727623405263743 Ti0.07215511424602465 Zr0.1375118169507041 ,Hf0.17391304347826086Mo0.13043478260869565Nb0.17391304347826086Ta0.17391304347826086Ti0.17391304347826086Zr0.17391304347826086,0.05128294685239151,180.4335410693716,-0.0017362113002978754,4.0,1.0804592886881987,-0.014854820038583846,115.37482782608696,663.39026,-5.64834803672294,0.09373910915344046,0.1973534971644612,4.608695652173912,0.21172022684310016,6.665217391304347,20.0,2.0,0.0,18.0,0.0,55.55478260869565,0.47174670385368045,12.973232514177692,-0.0873550011136282,1373.0
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,6,0.408248290463863,0.3028534321386899,0.23849484685087588,0.2152847236817911,0.1993718664752192,22.0,73.0,51.0,48.333333333333336,16.111111111111114,22.0,43.0,50.0,7.0,46.166666666666664,2.1666666666666665,43.0,47.867,180.94788,133.08088,114.56587666666667,43.43537555555556,47.867,1941.0,3290.0,1349.0,2585.1666666666665,393.5,1941.0,4.0,6.0,2.0,4.666666666666667,0.6666666666666666,4.0,4.0,6.0,2.0,5.166666666666667,0.5555555555555557,4.0,154.0,175.0,21.0,166.33333333333334,7.0,154.0,1.3,2.16,0.8600000000000001,1.571666666666667,0.20555555555555569,1.3,1.0,2.0,1.0,1.6666666666666667,0.44444444444444436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.0,2.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,4.0,19.0,15.0,9.333333333333334,6.111111111111112,4.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,7.333333333333333,0.6666666666666666,6.0,15.69,23.195,7.505000000000001,19.0125,2.456666666666666,15.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,3.75555555555e-06,6.25925925925e-06,0.0,194.0,229.0,35.0,211.5,17.5,194.0,1.6666666666666667,0.0,3.0,4.666666666666667,False,0.16881260156382927,0.018999319989831957,Hf0.2596689325129333 Mo0.1395744152910013 Nb0.1351610763529662 Ta0.2632446794782809 Ti0.06963736227573858 Zr0.13271353408907968 ,Hf0.16666666666666666Mo0.16666666666666666Nb0.16666666666666666Ta0.16666666666666666Ti0.16666666666666666Zr0.16666666666666666,0.05174351702533472,43.32422457965823,-0.0007516576686188067,4.027777777777778,1.0805331621197831,-0.014896688227162048,114.56587666666668,687.37526,-5.56388108570291,0.09864785361714251,0.2111111111111111,4.666666666666667,0.8888888888888888,6.671666666666668,20.0,2.0,0.0,18.0,0.0,58.065,0.48807406245346674,14.320277777777775,-0.09714872147248874,1512.0
Hf1 Mo1 Sc1 Ta1 Zr1,Hf1 Mo1 Sc1 Ta1 Zr1,5,0.447213595499958,0.34199518933533946,0.27594593229224296,0.25169979012836535,0.2349237886176038,21.0,73.0,52.0,49.6,18.32,21.0,11.0,50.0,39.0,39.6,11.44,11.0,44.955912,180.94788,135.99196799999999,118.31555840000001,49.122705280000005,44.955912,1814.0,3290.0,1476.0,2526.8,452.96000000000004,1814.0,3.0,6.0,3.0,4.4,0.8800000000000001,3.0,4.0,6.0,2.0,5.2,0.64,4.0,154.0,175.0,21.0,168.8,5.919999999999993,154.0,1.3,2.16,0.8600000000000001,1.53,0.252,1.3,1.0,2.0,1.0,1.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.6,1.1199999999999999,1.0,0.0,14.0,14.0,5.6,6.720000000000001,0.0,3.0,19.0,16.0,10.0,6.8,3.0,0.0,1.0,1.0,0.2,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,7.4,1.1199999999999999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,3.0,7.6,0.8800000000000001,6.0,15.69,23.195,7.505000000000001,20.288,2.7063999999999995,15.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.2700000000000001e-06,2.032e-06,0.0,194.0,229.0,35.0,208.0,16.8,194.0,1.8,0.0,2.6,5.6,False,0.16881260156382927,0.024057826247037797,Hf0.3017287616084685 Mo0.1621819563489073 Sc0.07599580735469375 Ta0.305883689551671 Zr0.15420978513625935 ,Hf0.2Mo0.2Sc0.2Ta0.2Zr0.2,0.05789171916040094,7.8265681111780925,-0.004116027332778738,4.7200000000000015,1.0962644688359664,-0.013380866803977112,118.3155584,591.5577920000001,-3.9925591081852523,0.13157894736842102,0.272,4.4,4.32,6.3020000000000005,14.0,1.0,0.0,13.0,0.0,60.57400000000001,0.5077387547309372,16.284000000000002,-0.10942427513761786,1778.0
Hf1 Mo1 Ta1 Ti1 Zr1,Hf1 Mo1 Ta1 Ti1 Zr1,5,0.447213595499958,0.34199518933533946,0.27594593229224296,0.25169979012836535,0.2349237886176038,22.0,73.0,51.0,49.8,18.16,22.0,43.0,50.0,7.0,46.0,2.4,43.0,47.867,180.94788,133.08088,118.897776,48.656931199999995,47.867,1941.0,3290.0,1349.0,2552.2,432.64,1941.0,4.0,6.0,2.0,4.6,0.72,4.0,4.0,6.0,2.0,5.2,0.64,4.0,154.0,175.0,21.0,166.8,7.839999999999998,154.0,1.3,2.16,0.8600000000000001,1.566,0.23760000000000003,1.3,1.0,2.0,1.0,1.8,0.31999999999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.8,0.96,2.0,0.0,14.0,14.0,5.6,6.720000000000001,0.0,4.0,19.0,15.0,10.2,6.640000000000001,4.0,0.0,1.0,1.0,0.2,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.2,0.96,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,7.4,0.72,6.0,15.69,23.195,7.505000000000001,19.179000000000002,2.8148,15.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,4.50666666666e-06,7.210666666656e-06,0.0,194.0,229.0,35.0,208.0,16.8,194.0,1.8,0.0,2.8,5.6,False,0.16881260156382927,0.022594594793943667,Hf0.30025120911291436 Mo0.1613877584306852 Ta0.30438579055643755 Ti0.08052061530958525 Zr0.15345462659037762 ,Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2,0.054344596101498555,17.78679596724499,0.010120923477404831,4.320000000000001,1.080353555870587,-0.013380866803977112,118.897776,594.46888,-4.530764791552796,0.10772091912354317,0.22800000000000006,4.6,1.9200000000000004,6.492,15.0,1.0,0.0,14.0,0.0,62.18400000000001,0.47214212165734776,15.412,-0.09439792078487341,1600.0
Hf1 Sc1 Ti1 Y1 Zr1,Hf1 Sc1 Ti1 Y1 Zr1,5,0.447213595499958,0.34199518933533946,0.27594593229224296,0.25169979012836535,0.2349237886176038,21.0,72.0,51.0,38.8,13.84,21.0,11.0,45.0,34.0,31.0,15.6,11.0,44.955912,178.49,133.534088,90.2885524,35.65475808,44.955912,1799.0,2506.0,707.0,2037.6,223.51999999999998,1799.0,3.0,4.0,1.0,3.6,0.48,3.0,4.0,6.0,2.0,4.8,0.64,4.0,160.0,190.0,30.0,174.0,7.2,160.0,1.22,1.54,0.32000000000000006,1.35,0.08000000000000003,1.22,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.6,0.48,1.0,0.0,14.0,14.0,2.8,4.48,0.0,3.0,18.0,15.0,6.4,4.639999999999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,1.0,8.4,0.4800000000000001,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,1.0,8.4,0.4800000000000001,8.0,16.69,32.365,15.675,23.337,3.6112,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.7766666666600005e-06,6.9319999999920005e-06,0.0,194.0,194.0,0.0,194.0,0.0,194.0,2.0,0.0,1.6,2.8,False,0.025275098398206075,0.0027784141662800105,Hf0.39537681191131824 Sc0.09958275064779973 Ti0.10603116060148506 Y0.19693714792574302 Zr0.20207212891365395 ,Hf0.2Sc0.2Ti0.2Y0.2Zr0.2,0.073874115461195,3.215195070729217,0.00024951938018595853,6.24,1.1498508871133468,-0.013380866803977112,90.2885524,451.442762,-2.451882534020034,0.06423731436674239,0.12399999999999997,3.6000000000000005,8.48,5.162000000000001,8.0,0.0,0.0,8.0,0.0,36.708000000000006,0.25154692409228385,4.9912,-0.029468945905425696,793.0
